trial,reinforcer,reward_size,difficulty,position,trial_type,stimulus,correct_resp
1,secondary,low,hard,right,congruent,right_congruent,k
2,secondary,high,hard,right,nogo,right_nogo,
3,secondary,high,hard,right,congruent,right_congruent,k
4,secondary,low,hard,left,congruent,left_congruent,f
5,secondary,low,easy,right,congruent,right_congruent,k
6,secondary,high,easy,left,congruent,left_congruent,f
7,secondary,high,easy,right,congruent,right_congruent,k
8,secondary,low,easy,right,congruent,right_congruent,k
9,secondary,high,easy,left,nogo,left_nogo,
10,secondary,high,easy,right,congruent,right_congruent,k
11,secondary,high,hard,right,congruent,right_congruent,k
12,secondary,low,easy,right,congruent,right_congruent,k
1,secondary,high,easy,left,congruent,left_congruent,f
2,secondary,high,easy,left,nogo,left_nogo,
3,secondary,low,easy,left,congruent,left_congruent,f
4,secondary,high,easy,right,congruent,right_congruent,k
5,secondary,high,hard,left,congruent,left_congruent,f
6,secondary,high,hard,right,congruent,right_congruent,k
7,secondary,low,easy,left,nogo,left_nogo,
8,secondary,high,easy,left,nogo,left_nogo,
9,secondary,high,easy,right,congruent,right_congruent,k
10,secondary,high,easy,left,congruent,left_congruent,f
11,secondary,low,easy,right,congruent,right_congruent,k
12,secondary,low,hard,left,congruent,left_congruent,f
13,secondary,high,hard,left,congruent,left_congruent,f
14,secondary,low,hard,left,congruent,left_congruent,f
15,secondary,high,hard,right,congruent,right_congruent,k
16,secondary,low,hard,left,nogo,left_nogo,
17,secondary,low,easy,left,congruent,left_congruent,f
18,secondary,high,hard,right,congruent,right_congruent,k
19,secondary,low,hard,right,nogo,right_nogo,
20,secondary,low,easy,right,congruent,right_congruent,k
21,secondary,high,easy,left,nogo,left_nogo,
22,secondary,low,easy,left,congruent,left_congruent,f
23,secondary,low,easy,left,congruent,left_congruent,f
24,secondary,high,easy,right,congruent,right_congruent,k
25,secondary,low,hard,left,congruent,left_congruent,f
26,secondary,low,easy,left,nogo,left_nogo,
27,secondary,low,hard,left,nogo,left_nogo,
28,secondary,low,easy,right,nogo,right_nogo,
29,secondary,high,hard,left,congruent,left_congruent,f
30,secondary,high,easy,right,congruent,right_congruent,k
31,secondary,high,hard,left,congruent,left_congruent,f
32,secondary,low,easy,right,congruent,right_congruent,k
33,secondary,high,hard,left,congruent,left_congruent,f
34,secondary,low,hard,left,congruent,left_congruent,f
35,secondary,high,hard,left,nogo,left_nogo,
36,secondary,high,easy,right,nogo,right_nogo,
37,secondary,low,easy,left,congruent,left_congruent,f
38,secondary,high,easy,left,congruent,left_congruent,f
39,secondary,high,easy,right,nogo,right_nogo,
40,secondary,low,hard,right,congruent,right_congruent,k
41,secondary,high,easy,left,congruent,left_congruent,f
42,secondary,low,hard,left,congruent,left_congruent,f
43,secondary,low,hard,right,nogo,right_nogo,
44,secondary,low,hard,left,congruent,left_congruent,f
45,secondary,low,easy,left,congruent,left_congruent,f
46,secondary,high,easy,right,congruent,right_congruent,k
47,secondary,high,hard,right,congruent,right_congruent,k
48,secondary,high,easy,left,congruent,left_congruent,f
49,secondary,low,hard,right,nogo,right_nogo,
50,secondary,high,easy,right,congruent,right_congruent,k
51,secondary,low,hard,right,congruent,right_congruent,k
52,secondary,high,hard,right,nogo,right_nogo,
53,secondary,high,easy,right,nogo,right_nogo,
54,secondary,high,easy,left,congruent,left_congruent,f
55,secondary,high,easy,left,nogo,left_nogo,
56,secondary,high,hard,left,nogo,left_nogo,
57,secondary,high,hard,left,congruent,left_congruent,f
58,secondary,low,easy,right,nogo,right_nogo,
59,secondary,low,easy,left,nogo,left_nogo,
60,secondary,high,easy,right,congruent,right_congruent,k
61,secondary,low,hard,left,congruent,left_congruent,f
62,secondary,low,easy,left,nogo,left_nogo,
63,secondary,low,hard,left,nogo,left_nogo,
64,secondary,high,easy,right,congruent,right_congruent,k
65,secondary,low,hard,left,nogo,left_nogo,
66,secondary,low,hard,left,congruent,left_congruent,f
67,secondary,high,easy,left,congruent,left_congruent,f
68,secondary,high,hard,right,congruent,right_congruent,k
69,secondary,low,easy,left,nogo,left_nogo,
70,secondary,low,easy,left,congruent,left_congruent,f
71,secondary,high,easy,left,congruent,left_congruent,f
72,secondary,high,hard,left,nogo,left_nogo,
73,secondary,low,easy,right,congruent,right_congruent,k
74,secondary,low,easy,right,nogo,right_nogo,
75,secondary,low,hard,right,nogo,right_nogo,
76,secondary,low,hard,right,congruent,right_congruent,k
77,secondary,high,hard,left,nogo,left_nogo,
78,secondary,high,easy,right,congruent,right_congruent,k
79,secondary,high,easy,left,nogo,left_nogo,
80,secondary,low,hard,left,congruent,left_congruent,f
81,secondary,high,easy,right,congruent,right_congruent,k
82,secondary,low,easy,left,congruent,left_congruent,f
83,secondary,low,easy,left,congruent,left_congruent,f
84,secondary,high,hard,right,congruent,right_congruent,k
85,secondary,high,easy,left,nogo,left_nogo,
86,secondary,high,hard,right,congruent,right_congruent,k
87,secondary,high,hard,left,nogo,left_nogo,
88,secondary,low,easy,right,nogo,right_nogo,
89,secondary,low,easy,left,nogo,left_nogo,
90,secondary,low,hard,left,congruent,left_congruent,f
91,secondary,high,hard,right,congruent,right_congruent,k
92,secondary,low,hard,right,congruent,right_congruent,k
93,secondary,low,easy,right,congruent,right_congruent,k
94,secondary,low,hard,right,congruent,right_congruent,k
95,secondary,low,hard,left,nogo,left_nogo,
96,secondary,low,easy,right,congruent,right_congruent,k
97,secondary,high,easy,left,congruent,left_congruent,f
98,secondary,high,hard,left,congruent,left_congruent,f
99,secondary,low,easy,left,congruent,left_congruent,f
100,secondary,low,hard,right,congruent,right_congruent,k
101,secondary,high,easy,right,congruent,right_congruent,k
102,secondary,low,easy,left,congruent,left_congruent,f
103,secondary,low,easy,left,congruent,left_congruent,f
104,secondary,low,hard,right,congruent,right_congruent,k
105,secondary,high,easy,left,congruent,left_congruent,f
106,secondary,low,hard,left,congruent,left_congruent,f
107,secondary,high,easy,right,congruent,right_congruent,k
108,secondary,high,easy,right,congruent,right_congruent,k
109,secondary,low,easy,right,congruent,right_congruent,k
110,secondary,high,hard,left,congruent,left_congruent,f
111,secondary,low,hard,left,congruent,left_congruent,f
112,secondary,low,easy,right,congruent,right_congruent,k
113,secondary,high,easy,right,nogo,right_nogo,
114,secondary,low,hard,left,nogo,left_nogo,
115,secondary,high,easy,right,congruent,right_congruent,k
116,secondary,low,hard,left,nogo,left_nogo,
117,secondary,low,easy,left,nogo,left_nogo,
118,secondary,high,hard,left,congruent,left_congruent,f
119,secondary,high,hard,right,nogo,right_nogo,
120,secondary,high,easy,left,congruent,left_congruent,f
121,secondary,low,hard,right,congruent,right_congruent,k
122,secondary,low,easy,left,congruent,left_congruent,f
123,secondary,low,easy,left,congruent,left_congruent,f
124,secondary,high,easy,right,congruent,right_congruent,k
125,secondary,high,hard,left,congruent,left_congruent,f
126,secondary,low,hard,left,congruent,left_congruent,f
127,secondary,low,hard,right,congruent,right_congruent,k
128,secondary,low,easy,right,nogo,right_nogo,
129,secondary,low,hard,right,congruent,right_congruent,k
130,secondary,low,hard,left,congruent,left_congruent,f
131,secondary,low,hard,left,congruent,left_congruent,f
132,secondary,low,hard,right,congruent,right_congruent,k
133,secondary,low,hard,right,congruent,right_congruent,k
134,secondary,low,easy,right,congruent,right_congruent,k
135,secondary,low,hard,right,congruent,right_congruent,k
136,secondary,high,easy,left,nogo,left_nogo,
137,secondary,low,easy,left,congruent,left_congruent,f
138,secondary,high,hard,right,congruent,right_congruent,k
139,secondary,high,hard,right,nogo,right_nogo,
140,secondary,low,hard,right,congruent,right_congruent,k
141,secondary,low,easy,left,nogo,left_nogo,
142,secondary,high,easy,left,congruent,left_congruent,f
143,secondary,low,easy,left,congruent,left_congruent,f
144,secondary,high,easy,left,congruent,left_congruent,f
145,secondary,low,hard,left,congruent,left_congruent,f
146,secondary,low,easy,right,congruent,right_congruent,k
147,secondary,high,easy,left,congruent,left_congruent,f
148,secondary,low,easy,right,congruent,right_congruent,k
149,secondary,high,easy,left,congruent,left_congruent,f
150,secondary,low,easy,right,congruent,right_congruent,k
151,secondary,low,hard,right,nogo,right_nogo,
152,secondary,high,hard,left,congruent,left_congruent,f
153,secondary,high,hard,left,congruent,left_congruent,f
154,secondary,high,easy,left,nogo,left_nogo,
155,secondary,high,easy,left,congruent,left_congruent,f
156,secondary,high,easy,left,nogo,left_nogo,
157,secondary,low,hard,left,nogo,left_nogo,
158,secondary,high,easy,right,congruent,right_congruent,k
159,secondary,high,hard,left,nogo,left_nogo,
160,secondary,low,hard,left,congruent,left_congruent,f
161,secondary,low,easy,left,congruent,left_congruent,f
162,secondary,low,easy,left,congruent,left_congruent,f
163,secondary,high,easy,right,congruent,right_congruent,k
164,secondary,high,hard,right,nogo,right_nogo,
165,secondary,low,hard,right,congruent,right_congruent,k
166,secondary,low,easy,right,congruent,right_congruent,k
167,secondary,low,hard,left,congruent,left_congruent,f
168,secondary,high,hard,right,nogo,right_nogo,
169,secondary,high,hard,right,congruent,right_congruent,k
170,secondary,low,hard,right,nogo,right_nogo,
171,secondary,low,hard,left,congruent,left_congruent,f
172,secondary,high,easy,left,congruent,left_congruent,f
173,secondary,low,easy,right,congruent,right_congruent,k
174,secondary,high,easy,right,congruent,right_congruent,k
175,secondary,high,hard,right,nogo,right_nogo,
176,secondary,low,hard,right,congruent,right_congruent,k
177,secondary,high,hard,left,congruent,left_congruent,f
178,secondary,high,hard,left,congruent,left_congruent,f
179,secondary,high,easy,left,congruent,left_congruent,f
180,secondary,high,hard,left,nogo,left_nogo,
181,secondary,low,hard,right,congruent,right_congruent,k
182,secondary,low,easy,right,congruent,right_congruent,k
183,secondary,high,hard,right,congruent,right_congruent,k
184,secondary,high,easy,left,congruent,left_congruent,f
185,secondary,low,easy,right,congruent,right_congruent,k
186,secondary,high,easy,right,nogo,right_nogo,
187,secondary,high,easy,left,congruent,left_congruent,f
188,secondary,low,easy,left,congruent,left_congruent,f
189,secondary,high,easy,left,congruent,left_congruent,f
190,secondary,low,easy,left,nogo,left_nogo,
191,secondary,high,hard,left,congruent,left_congruent,f
192,secondary,high,easy,right,congruent,right_congruent,k
193,secondary,low,hard,left,nogo,left_nogo,
194,secondary,low,easy,right,congruent,right_congruent,k
195,secondary,high,hard,left,congruent,left_congruent,f
196,secondary,high,hard,left,congruent,left_congruent,f
197,secondary,low,easy,right,congruent,right_congruent,k
198,secondary,high,easy,right,congruent,right_congruent,k
199,secondary,high,hard,right,congruent,right_congruent,k
200,secondary,low,easy,right,congruent,right_congruent,k
201,secondary,low,hard,left,congruent,left_congruent,f
202,secondary,low,easy,right,congruent,right_congruent,k
203,secondary,high,hard,left,nogo,left_nogo,
204,secondary,high,hard,right,congruent,right_congruent,k
205,secondary,high,hard,right,nogo,right_nogo,
206,secondary,high,hard,right,congruent,right_congruent,k
207,secondary,low,hard,right,congruent,right_congruent,k
208,secondary,low,hard,right,congruent,right_congruent,k
209,secondary,low,hard,right,congruent,right_congruent,k
210,secondary,low,hard,left,congruent,left_congruent,f
211,secondary,low,easy,left,congruent,left_congruent,f
212,secondary,low,easy,left,congruent,left_congruent,f
213,secondary,high,hard,left,congruent,left_congruent,f
214,secondary,low,easy,left,congruent,left_congruent,f
215,secondary,high,easy,right,nogo,right_nogo,
216,secondary,high,hard,right,nogo,right_nogo,
217,secondary,low,easy,right,congruent,right_congruent,k
218,secondary,high,hard,right,congruent,right_congruent,k
219,secondary,low,easy,right,nogo,right_nogo,
220,secondary,high,hard,left,congruent,left_congruent,f
221,secondary,high,hard,left,congruent,left_congruent,f
222,secondary,low,easy,right,nogo,right_nogo,
223,secondary,high,hard,left,congruent,left_congruent,f
224,secondary,high,hard,right,congruent,right_congruent,k
225,secondary,high,hard,right,congruent,right_congruent,k
226,secondary,high,easy,left,nogo,left_nogo,
227,secondary,low,hard,right,congruent,right_congruent,k
228,secondary,low,hard,right,nogo,right_nogo,
229,secondary,low,easy,left,congruent,left_congruent,f
230,secondary,low,easy,right,congruent,right_congruent,k
