trial,reinforcer,reward_size,difficulty,position,trial_type,stimulus,correct_resp
1,secondary,low,hard,right,congruent,right_congruent,k
2,secondary,high,hard,right,nogo,right_nogo,
3,secondary,high,hard,right,congruent,right_congruent,k
4,secondary,low,hard,left,congruent,left_congruent,f
5,secondary,low,easy,right,congruent,right_congruent,k
6,secondary,high,easy,left,congruent,left_congruent,f
7,secondary,high,easy,right,congruent,right_congruent,k
8,secondary,low,easy,right,congruent,right_congruent,k
9,secondary,high,easy,left,nogo,left_nogo,
10,secondary,high,easy,right,congruent,right_congruent,k
11,secondary,high,hard,right,congruent,right_congruent,k
12,secondary,low,easy,right,congruent,right_congruent,k
1,secondary,high,easy,right,nogo,right_nogo,
2,secondary,low,hard,right,congruent,right_congruent,k
3,secondary,high,hard,left,nogo,left_nogo,
4,secondary,high,easy,right,congruent,right_congruent,k
5,secondary,low,hard,left,nogo,left_nogo,
6,secondary,high,easy,right,congruent,right_congruent,k
7,secondary,high,easy,left,congruent,left_congruent,f
8,secondary,high,easy,left,congruent,left_congruent,f
9,secondary,high,easy,right,congruent,right_congruent,k
10,secondary,high,easy,left,congruent,left_congruent,f
11,secondary,low,hard,left,congruent,left_congruent,f
12,secondary,low,hard,right,congruent,right_congruent,k
13,secondary,low,hard,left,congruent,left_congruent,f
14,secondary,low,easy,right,congruent,right_congruent,k
15,secondary,high,easy,left,congruent,left_congruent,f
16,secondary,low,hard,left,congruent,left_congruent,f
17,secondary,high,hard,right,congruent,right_congruent,k
18,secondary,low,easy,right,congruent,right_congruent,k
19,secondary,low,easy,left,nogo,left_nogo,
20,secondary,high,hard,right,nogo,right_nogo,
21,secondary,high,hard,right,congruent,right_congruent,k
22,secondary,high,easy,left,congruent,left_congruent,f
23,secondary,low,easy,right,congruent,right_congruent,k
24,secondary,high,hard,right,congruent,right_congruent,k
25,secondary,low,hard,left,congruent,left_congruent,f
26,secondary,high,easy,left,nogo,left_nogo,
27,secondary,low,easy,right,nogo,right_nogo,
28,secondary,low,easy,right,congruent,right_congruent,k
29,secondary,high,hard,left,congruent,left_congruent,f
30,secondary,high,hard,left,nogo,left_nogo,
31,secondary,high,hard,right,congruent,right_congruent,k
32,secondary,high,hard,right,congruent,right_congruent,k
33,secondary,low,hard,right,congruent,right_congruent,k
34,secondary,low,easy,right,congruent,right_congruent,k
35,secondary,low,hard,right,nogo,right_nogo,
36,secondary,low,hard,right,congruent,right_congruent,k
37,secondary,high,easy,right,nogo,right_nogo,
38,secondary,low,hard,right,congruent,right_congruent,k
39,secondary,low,hard,right,congruent,right_congruent,k
40,secondary,high,hard,left,congruent,left_congruent,f
41,secondary,high,easy,right,congruent,right_congruent,k
42,secondary,high,easy,left,nogo,left_nogo,
43,secondary,low,hard,left,congruent,left_congruent,f
44,secondary,low,easy,right,congruent,right_congruent,k
45,secondary,high,hard,left,congruent,left_congruent,f
46,secondary,high,hard,right,congruent,right_congruent,k
47,secondary,high,easy,right,congruent,right_congruent,k
48,secondary,high,easy,left,nogo,left_nogo,
49,secondary,low,easy,left,nogo,left_nogo,
50,secondary,low,easy,right,congruent,right_congruent,k
51,secondary,low,easy,left,congruent,left_congruent,f
52,secondary,low,easy,left,congruent,left_congruent,f
53,secondary,high,hard,right,nogo,right_nogo,
54,secondary,high,easy,right,congruent,right_congruent,k
55,secondary,low,hard,left,nogo,left_nogo,
56,secondary,high,easy,left,congruent,left_congruent,f
57,secondary,low,easy,left,nogo,left_nogo,
58,secondary,high,easy,left,congruent,left_congruent,f
59,secondary,high,easy,left,nogo,left_nogo,
60,secondary,low,hard,left,nogo,left_nogo,
61,secondary,high,easy,right,congruent,right_congruent,k
62,secondary,low,easy,right,congruent,right_congruent,k
63,secondary,low,easy,right,nogo,right_nogo,
64,secondary,low,easy,left,nogo,left_nogo,
65,secondary,low,easy,right,congruent,right_congruent,k
66,secondary,low,easy,right,congruent,right_congruent,k
67,secondary,low,hard,right,congruent,right_congruent,k
68,secondary,low,hard,left,congruent,left_congruent,f
69,secondary,high,easy,right,congruent,right_congruent,k
70,secondary,low,hard,right,congruent,right_congruent,k
71,secondary,low,easy,right,nogo,right_nogo,
72,secondary,low,easy,left,nogo,left_nogo,
73,secondary,high,hard,right,nogo,right_nogo,
74,secondary,low,easy,right,congruent,right_congruent,k
75,secondary,low,easy,left,congruent,left_congruent,f
76,secondary,high,hard,left,congruent,left_congruent,f
77,secondary,low,easy,right,congruent,right_congruent,k
78,secondary,low,hard,right,nogo,right_nogo,
79,secondary,high,easy,right,congruent,right_congruent,k
80,secondary,high,hard,right,congruent,right_congruent,k
81,secondary,high,easy,right,congruent,right_congruent,k
82,secondary,high,hard,left,congruent,left_congruent,f
83,secondary,high,easy,left,congruent,left_congruent,f
84,secondary,high,easy,right,congruent,right_congruent,k
85,secondary,low,easy,right,congruent,right_congruent,k
86,secondary,low,hard,right,nogo,right_nogo,
87,secondary,high,easy,right,congruent,right_congruent,k
88,secondary,high,hard,right,congruent,right_congruent,k
89,secondary,low,easy,left,congruent,left_congruent,f
90,secondary,high,easy,left,congruent,left_congruent,f
91,secondary,high,hard,right,congruent,right_congruent,k
92,secondary,high,easy,right,congruent,right_congruent,k
93,secondary,low,hard,left,nogo,left_nogo,
94,secondary,high,hard,left,nogo,left_nogo,
95,secondary,high,easy,left,congruent,left_congruent,f
96,secondary,low,hard,right,congruent,right_congruent,k
97,secondary,high,easy,left,congruent,left_congruent,f
98,secondary,high,easy,right,congruent,right_congruent,k
99,secondary,low,hard,left,nogo,left_nogo,
100,secondary,high,easy,left,congruent,left_congruent,f
101,secondary,high,easy,right,nogo,right_nogo,
102,secondary,high,hard,right,congruent,right_congruent,k
103,secondary,low,easy,left,congruent,left_congruent,f
104,secondary,low,easy,right,congruent,right_congruent,k
105,secondary,high,hard,left,nogo,left_nogo,
106,secondary,low,easy,right,nogo,right_nogo,
107,secondary,low,easy,left,congruent,left_congruent,f
108,secondary,low,easy,right,congruent,right_congruent,k
109,secondary,high,hard,right,nogo,right_nogo,
110,secondary,high,easy,left,congruent,left_congruent,f
111,secondary,low,hard,left,congruent,left_congruent,f
112,secondary,high,easy,right,congruent,right_congruent,k
113,secondary,low,hard,right,congruent,right_congruent,k
114,secondary,low,easy,left,congruent,left_congruent,f
115,secondary,low,hard,left,congruent,left_congruent,f
116,secondary,low,hard,right,nogo,right_nogo,
117,secondary,low,easy,right,congruent,right_congruent,k
118,secondary,high,hard,left,congruent,left_congruent,f
119,secondary,low,hard,right,nogo,right_nogo,
120,secondary,low,easy,left,nogo,left_nogo,
121,secondary,high,hard,left,congruent,left_congruent,f
122,secondary,low,hard,left,congruent,left_congruent,f
123,secondary,low,easy,left,congruent,left_congruent,f
124,secondary,low,easy,right,nogo,right_nogo,
125,secondary,low,easy,left,congruent,left_congruent,f
126,secondary,low,hard,left,congruent,left_congruent,f
127,secondary,high,hard,right,congruent,right_congruent,k
128,secondary,high,easy,left,congruent,left_congruent,f
129,secondary,low,hard,right,congruent,right_congruent,k
130,secondary,high,hard,right,congruent,right_congruent,k
131,secondary,low,easy,left,congruent,left_congruent,f
132,secondary,low,hard,left,congruent,left_congruent,f
133,secondary,high,hard,right,congruent,right_congruent,k
134,secondary,high,hard,left,congruent,left_congruent,f
135,secondary,high,easy,right,congruent,right_congruent,k
136,secondary,high,easy,left,nogo,left_nogo,
137,secondary,low,hard,left,congruent,left_congruent,f
138,secondary,high,hard,left,nogo,left_nogo,
139,secondary,low,easy,left,congruent,left_congruent,f
140,secondary,low,hard,left,congruent,left_congruent,f
141,secondary,low,easy,left,congruent,left_congruent,f
142,secondary,low,hard,right,congruent,right_congruent,k
143,secondary,low,hard,left,congruent,left_congruent,f
144,secondary,low,easy,left,nogo,left_nogo,
145,secondary,low,hard,left,congruent,left_congruent,f
146,secondary,high,hard,right,congruent,right_congruent,k
147,secondary,low,easy,left,congruent,left_congruent,f
148,secondary,high,hard,left,nogo,left_nogo,
149,secondary,low,hard,right,nogo,right_nogo,
150,secondary,low,easy,left,nogo,left_nogo,
151,secondary,high,hard,right,nogo,right_nogo,
152,secondary,low,easy,left,congruent,left_congruent,f
153,secondary,low,hard,right,nogo,right_nogo,
154,secondary,low,easy,right,congruent,right_congruent,k
155,secondary,low,easy,right,congruent,right_congruent,k
156,secondary,low,easy,left,congruent,left_congruent,f
157,secondary,high,hard,left,congruent,left_congruent,f
158,secondary,high,easy,left,congruent,left_congruent,f
159,secondary,low,hard,right,congruent,right_congruent,k
160,secondary,low,hard,left,congruent,left_congruent,f
161,secondary,high,hard,left,nogo,left_nogo,
162,secondary,high,easy,left,congruent,left_congruent,f
163,secondary,low,hard,right,congruent,right_congruent,k
164,secondary,high,hard,right,nogo,right_nogo,
165,secondary,low,hard,left,congruent,left_congruent,f
166,secondary,low,easy,left,congruent,left_congruent,f
167,secondary,low,easy,right,congruent,right_congruent,k
168,secondary,high,hard,right,nogo,right_nogo,
169,secondary,low,hard,left,nogo,left_nogo,
170,secondary,high,hard,right,congruent,right_congruent,k
171,secondary,high,easy,left,congruent,left_congruent,f
172,secondary,high,easy,right,congruent,right_congruent,k
173,secondary,low,hard,left,congruent,left_congruent,f
174,secondary,high,easy,left,nogo,left_nogo,
175,secondary,low,hard,right,congruent,right_congruent,k
176,secondary,low,easy,left,congruent,left_congruent,f
177,secondary,low,easy,left,congruent,left_congruent,f
178,secondary,high,easy,right,nogo,right_nogo,
179,secondary,high,hard,left,congruent,left_congruent,f
180,secondary,high,hard,left,congruent,left_congruent,f
181,secondary,high,easy,right,congruent,right_congruent,k
182,secondary,high,easy,left,nogo,left_nogo,
183,secondary,high,easy,right,congruent,right_congruent,k
184,secondary,high,hard,left,congruent,left_congruent,f
185,secondary,low,hard,right,congruent,right_congruent,k
186,secondary,high,hard,right,congruent,right_congruent,k
187,secondary,low,hard,left,congruent,left_congruent,f
188,secondary,low,hard,right,congruent,right_congruent,k
189,secondary,high,easy,left,nogo,left_nogo,
190,secondary,low,easy,right,nogo,right_nogo,
191,secondary,low,hard,left,congruent,left_congruent,f
192,secondary,high,easy,right,congruent,right_congruent,k
193,secondary,high,easy,right,congruent,right_congruent,k
194,secondary,high,easy,left,congruent,left_congruent,f
195,secondary,low,easy,right,congruent,right_congruent,k
196,secondary,high,easy,left,congruent,left_congruent,f
197,secondary,low,hard,right,congruent,right_congruent,k
198,secondary,low,easy,right,congruent,right_congruent,k
199,secondary,low,easy,left,nogo,left_nogo,
200,secondary,low,hard,left,nogo,left_nogo,
201,secondary,high,hard,right,congruent,right_congruent,k
202,secondary,high,hard,right,congruent,right_congruent,k
203,secondary,high,hard,left,congruent,left_congruent,f
204,secondary,low,hard,left,nogo,left_nogo,
205,secondary,high,hard,left,congruent,left_congruent,f
206,secondary,high,easy,left,nogo,left_nogo,
207,secondary,low,hard,right,congruent,right_congruent,k
208,secondary,low,hard,right,congruent,right_congruent,k
209,secondary,high,hard,left,congruent,left_congruent,f
210,secondary,low,easy,right,nogo,right_nogo,
211,secondary,low,easy,right,nogo,right_nogo,
212,secondary,high,easy,left,congruent,left_congruent,f
213,secondary,low,hard,right,congruent,right_congruent,k
214,secondary,high,hard,left,nogo,left_nogo,
215,secondary,high,hard,left,congruent,left_congruent,f
216,secondary,high,easy,right,congruent,right_congruent,k
217,secondary,high,easy,left,congruent,left_congruent,f
218,secondary,high,easy,right,nogo,right_nogo,
219,secondary,low,hard,left,congruent,left_congruent,f
220,secondary,high,hard,left,congruent,left_congruent,f
221,secondary,high,hard,left,congruent,left_congruent,f
222,secondary,low,easy,left,congruent,left_congruent,f
223,secondary,low,easy,right,congruent,right_congruent,k
224,secondary,high,hard,left,congruent,left_congruent,f
225,secondary,high,easy,right,congruent,right_congruent,k
226,secondary,low,easy,left,congruent,left_congruent,f
227,secondary,low,hard,right,congruent,right_congruent,k
228,secondary,high,easy,right,nogo,right_nogo,
229,secondary,low,hard,left,congruent,left_congruent,f
230,secondary,low,easy,left,congruent,left_congruent,f
